text,label
Verify your bank details to avoid suspension 653,1
Project meeting next week 611,0
Reminder: submit assignment 729,0
Urgent! Your account has been suspended. Click here to verify now 955,1
Unusual activity detected. Confirm immediately 548,1
Please review the attached document 917,0
Team meeting rescheduled 674,0
Project meeting next week 241,0
Team meeting rescheduled 703,0
Verify your bank details to avoid suspension 962,1
Your account will be blocked. Act now 512,1
Your account will be blocked. Act now 333,1
Let's catch up this weekend 208,0
Happy birthday! Have a great day 265,0
Unusual activity detected. Confirm immediately 278,1
Meeting scheduled tomorrow at 10 AM 795,0
Your order has been delivered 735,0
Verify your bank details to avoid suspension 895,1
Unusual activity detected. Confirm immediately 764,1
Click this link to secure your account 766,1
Unusual activity detected. Confirm immediately 850,1
Click this link to secure your account 563,1
Security alert! Login required 190,1
Project meeting next week 946,0
Urgent! Your account has been suspended. Click here to verify now 587,1
Urgent! Your account has been suspended. Click here to verify now 940,1
Urgent! Your account has been suspended. Click here to verify now 664,1
Invoice attached for your purchase 437,0
Congratulations! You won a prize. Claim now 290,1
Update your payment information now 167,1
Click this link to secure your account 522,1
Your order has been delivered 143,0
Lunch plan today? 834,0
Your order has been delivered 411,0
Let's catch up this weekend 486,0
Click this link to secure your account 686,1
Congratulations! You won a prize. Claim now 482,1
Invoice attached for your purchase 638,0
Lunch plan today? 823,0
Update your payment information now 929,1
Unusual activity detected. Confirm immediately 186,1
Invoice attached for your purchase 954,0
Urgent! Your account has been suspended. Click here to verify now 487,1
Team meeting rescheduled 749,0
Happy birthday! Have a great day 589,0
Lunch plan today? 542,0
Update your payment information now 311,1
Urgent! Your account has been suspended. Click here to verify now 219,1
Happy birthday! Have a great day 697,0
Unusual activity detected. Confirm immediately 308,1
Your password expires today. Login immediately 463,1
Update your payment information now 562,1
Verify your bank details to avoid suspension 605,1
Invoice attached for your purchase 549,0
Project meeting next week 538,0
Team meeting rescheduled 725,0
Urgent! Your account has been suspended. Click here to verify now 121,1
Project meeting next week 426,0
Congratulations! You won a prize. Claim now 665,1
You have received a reward. Click to claim 242,1
Your order has been delivered 712,0
Invoice attached for your purchase 897,0
Your password expires today. Login immediately 698,1
Project meeting next week 973,0
Happy birthday! Have a great day 901,0
Click this link to secure your account 913,1
Unusual activity detected. Confirm immediately 624,1
Let's catch up this weekend 789,0
Your order has been delivered 256,0
Your order has been delivered 972,0
Update your payment information now 769,1
Your password expires today. Login immediately 770,1
You have received a reward. Click to claim 516,1
Your order has been delivered 698,0
Lunch plan today? 964,0
Update your payment information now 301,1
Verify your bank details to avoid suspension 583,1
Reminder: submit assignment 555,0
Your account will be blocked. Act now 949,1
Let's catch up this weekend 852,0
You have received a reward. Click to claim 791,1
Meeting scheduled tomorrow at 10 AM 189,0
Meeting scheduled tomorrow at 10 AM 223,0
Please review the attached document 575,0
Update your payment information now 854,1
Team meeting rescheduled 754,0
Happy birthday! Have a great day 419,0
Project meeting next week 150,0
Invoice attached for your purchase 111,0
Urgent! Your account has been suspended. Click here to verify now 508,1
Project meeting next week 242,0
Your password expires today. Login immediately 625,1
Urgent! Your account has been suspended. Click here to verify now 711,1
Update your payment information now 344,1
Let's catch up this weekend 656,0
Your order has been delivered 921,0
Verify your bank details to avoid suspension 252,1
You have received a reward. Click to claim 814,1
Team meeting rescheduled 862,0
Urgent! Your account has been suspended. Click here to verify now 517,1
Reminder: submit assignment 900,0
Lunch plan today? 961,0
Verify your bank details to avoid suspension 634,1
Your password expires today. Login immediately 366,1
Project meeting next week 527,0
Update your payment information now 938,1
Congratulations! You won a prize. Claim now 960,1
Security alert! Login required 246,1
You have received a reward. Click to claim 441,1
Click this link to secure your account 576,1
Urgent! Your account has been suspended. Click here to verify now 740,1
Project meeting next week 140,0
Project meeting next week 772,0
Your password expires today. Login immediately 133,1
Please review the attached document 435,0
Happy birthday! Have a great day 775,0
Let's catch up this weekend 734,0
You have received a reward. Click to claim 748,1
Project meeting next week 804,0
Your account will be blocked. Act now 153,1
Reminder: submit assignment 698,0
Unusual activity detected. Confirm immediately 495,1
Security alert! Login required 227,1
Your order has been delivered 850,0
Your account will be blocked. Act now 468,1
Your password expires today. Login immediately 598,1
Meeting scheduled tomorrow at 10 AM 248,0
Reminder: submit assignment 501,0
Invoice attached for your purchase 855,0
Urgent! Your account has been suspended. Click here to verify now 410,1
Lunch plan today? 292,0
Urgent! Your account has been suspended. Click here to verify now 930,1
Project meeting next week 134,0
Urgent! Your account has been suspended. Click here to verify now 996,1
Your order has been delivered 540,0
Click this link to secure your account 791,1
Happy birthday! Have a great day 437,0
Project meeting next week 927,0
Congratulations! You won a prize. Claim now 520,1
Project meeting next week 500,0
Project meeting next week 784,0
Unusual activity detected. Confirm immediately 945,1
Your account will be blocked. Act now 964,1
Verify your bank details to avoid suspension 537,1
You have received a reward. Click to claim 520,1
Happy birthday! Have a great day 472,0
Congratulations! You won a prize. Claim now 608,1
You have received a reward. Click to claim 966,1
Your order has been delivered 189,0
Click this link to secure your account 555,1
Happy birthday! Have a great day 470,0
Invoice attached for your purchase 910,0
Your password expires today. Login immediately 518,1
Security alert! Login required 581,1
Team meeting rescheduled 582,0
Security alert! Login required 439,1
You have received a reward. Click to claim 361,1
Click this link to secure your account 581,1
Let's catch up this weekend 371,0
Click this link to secure your account 499,1
Let's catch up this weekend 220,0
Happy birthday! Have a great day 840,0
Reminder: submit assignment 748,0
Click this link to secure your account 151,1
Team meeting rescheduled 700,0
Verify your bank details to avoid suspension 966,1
Update your payment information now 191,1
Reminder: submit assignment 530,0
Security alert! Login required 682,1
You have received a reward. Click to claim 989,1
Please review the attached document 396,0
Your account will be blocked. Act now 263,1
Your order has been delivered 872,0
Your password expires today. Login immediately 302,1
Your account will be blocked. Act now 771,1
Urgent! Your account has been suspended. Click here to verify now 492,1
Team meeting rescheduled 515,0
Congratulations! You won a prize. Claim now 535,1
Update your payment information now 693,1
Let's catch up this weekend 914,0
Security alert! Login required 568,1
Click this link to secure your account 252,1
Let's catch up this weekend 438,0
Congratulations! You won a prize. Claim now 962,1
Lunch plan today? 273,0
Click this link to secure your account 347,1
Verify your bank details to avoid suspension 462,1
Update your payment information now 360,1
Your order has been delivered 734,0
Meeting scheduled tomorrow at 10 AM 996,0
Let's catch up this weekend 416,0
Urgent! Your account has been suspended. Click here to verify now 498,1
Project meeting next week 168,0
Happy birthday! Have a great day 215,0
Happy birthday! Have a great day 314,0
Urgent! Your account has been suspended. Click here to verify now 786,1
Verify your bank details to avoid suspension 389,1
Lunch plan today? 510,0
Congratulations! You won a prize. Claim now 275,1
Urgent! Your account has been suspended. Click here to verify now 314,1
Congratulations! You won a prize. Claim now 401,1
Congratulations! You won a prize. Claim now 159,1
Update your payment information now 386,1
Unusual activity detected. Confirm immediately 719,1
Meeting scheduled tomorrow at 10 AM 689,0
Congratulations! You won a prize. Claim now 173,1
Security alert! Login required 423,1
You have received a reward. Click to claim 532,1
You have received a reward. Click to claim 504,1
Your password expires today. Login immediately 321,1
Invoice attached for your purchase 355,0
Team meeting rescheduled 539,0
Your order has been delivered 193,0
Your order has been delivered 543,0
You have received a reward. Click to claim 998,1
Your account will be blocked. Act now 125,1
Verify your bank details to avoid suspension 466,1
Your order has been delivered 191,0
Click this link to secure your account 497,1
Update your payment information now 117,1
Please review the attached document 331,0
Click this link to secure your account 436,1
Security alert! Login required 973,1
Verify your bank details to avoid suspension 883,1
Project meeting next week 782,0
Unusual activity detected. Confirm immediately 655,1
Meeting scheduled tomorrow at 10 AM 318,0
Security alert! Login required 537,1
Your account will be blocked. Act now 402,1
Please review the attached document 660,0
Happy birthday! Have a great day 799,0
Urgent! Your account has been suspended. Click here to verify now 956,1
Your order has been delivered 276,0
Project meeting next week 418,0
You have received a reward. Click to claim 324,1
Verify your bank details to avoid suspension 745,1
Lunch plan today? 247,0
Reminder: submit assignment 426,0
Unusual activity detected. Confirm immediately 862,1
Unusual activity detected. Confirm immediately 192,1
Congratulations! You won a prize. Claim now 167,1
Lunch plan today? 869,0
Your order has been delivered 972,0
Project meeting next week 675,0
Verify your bank details to avoid suspension 363,1
Unusual activity detected. Confirm immediately 351,1
Reminder: submit assignment 639,0
Security alert! Login required 933,1
Lunch plan today? 904,0
Invoice attached for your purchase 629,0
Security alert! Login required 569,1
Click this link to secure your account 521,1
Project meeting next week 801,0
Please review the attached document 123,0
Let's catch up this weekend 952,0
Click this link to secure your account 289,1
Meeting scheduled tomorrow at 10 AM 109,0
Team meeting rescheduled 153,0
Reminder: submit assignment 207,0
Invoice attached for your purchase 226,0
You have received a reward. Click to claim 500,1
Congratulations! You won a prize. Claim now 451,1
Team meeting rescheduled 276,0
Invoice attached for your purchase 350,0
Your password expires today. Login immediately 838,1
Invoice attached for your purchase 839,0
You have received a reward. Click to claim 989,1
Unusual activity detected. Confirm immediately 342,1
Your order has been delivered 272,0
Project meeting next week 967,0
Reminder: submit assignment 613,0
Security alert! Login required 614,1
Let's catch up this weekend 975,0
Project meeting next week 852,0
Team meeting rescheduled 984,0
Update your payment information now 438,1
Your order has been delivered 321,0
Please review the attached document 485,0
Congratulations! You won a prize. Claim now 643,1
Please review the attached document 331,0
Update your payment information now 213,1
Let's catch up this weekend 903,0
Meeting scheduled tomorrow at 10 AM 778,0
Your password expires today. Login immediately 259,1
Project meeting next week 546,0
Verify your bank details to avoid suspension 700,1
Verify your bank details to avoid suspension 542,1
Unusual activity detected. Confirm immediately 329,1
Update your payment information now 633,1
Team meeting rescheduled 686,0
Security alert! Login required 497,1
Let's catch up this weekend 725,0
Meeting scheduled tomorrow at 10 AM 432,0
Team meeting rescheduled 787,0
Security alert! Login required 228,1
Unusual activity detected. Confirm immediately 534,1
Urgent! Your account has been suspended. Click here to verify now 818,1
Click this link to secure your account 397,1
Invoice attached for your purchase 405,0
Your password expires today. Login immediately 880,1
Happy birthday! Have a great day 615,0
Your account will be blocked. Act now 197,1
Invoice attached for your purchase 684,0
Your account will be blocked. Act now 188,1
Let's catch up this weekend 580,0
Urgent! Your account has been suspended. Click here to verify now 165,1
Please review the attached document 290,0
Congratulations! You won a prize. Claim now 133,1
Lunch plan today? 988,0
Security alert! Login required 565,1
Your password expires today. Login immediately 848,1
Urgent! Your account has been suspended. Click here to verify now 372,1
Your order has been delivered 201,0
Please review the attached document 719,0
Reminder: submit assignment 955,0
Your password expires today. Login immediately 946,1
Verify your bank details to avoid suspension 582,1
Lunch plan today? 571,0
Team meeting rescheduled 261,0
Click this link to secure your account 167,1
Urgent! Your account has been suspended. Click here to verify now 261,1
Meeting scheduled tomorrow at 10 AM 846,0
Urgent! Your account has been suspended. Click here to verify now 936,1
Reminder: submit assignment 589,0
Meeting scheduled tomorrow at 10 AM 121,0
Unusual activity detected. Confirm immediately 293,1
Reminder: submit assignment 553,0
Your order has been delivered 761,0
Project meeting next week 616,0
Happy birthday! Have a great day 696,0
Happy birthday! Have a great day 160,0
Reminder: submit assignment 460,0
Your order has been delivered 153,0
You have received a reward. Click to claim 979,1
Team meeting rescheduled 269,0
Reminder: submit assignment 838,0
Security alert! Login required 474,1
Meeting scheduled tomorrow at 10 AM 623,0
Security alert! Login required 151,1
Lunch plan today? 696,0
Let's catch up this weekend 470,0
Team meeting rescheduled 489,0
Your password expires today. Login immediately 710,1
Your password expires today. Login immediately 595,1
Lunch plan today? 161,0
Invoice attached for your purchase 404,0
Reminder: submit assignment 566,0
Project meeting next week 343,0
Project meeting next week 246,0
Reminder: submit assignment 883,0
Let's catch up this weekend 612,0
Please review the attached document 531,0
Project meeting next week 327,0
Project meeting next week 420,0
Invoice attached for your purchase 603,0
Invoice attached for your purchase 457,0
Click this link to secure your account 692,1
Reminder: submit assignment 649,0
Security alert! Login required 731,1
Your order has been delivered 603,0
Your password expires today. Login immediately 762,1
Congratulations! You won a prize. Claim now 386,1
Meeting scheduled tomorrow at 10 AM 553,0
Security alert! Login required 659,1
Update your payment information now 972,1
Your order has been delivered 644,0
Urgent! Your account has been suspended. Click here to verify now 671,1
Invoice attached for your purchase 164,0
Verify your bank details to avoid suspension 204,1
Let's catch up this weekend 499,0
Invoice attached for your purchase 482,0
Happy birthday! Have a great day 259,0
Your order has been delivered 221,0
Please review the attached document 902,0
Lunch plan today? 961,0
You have received a reward. Click to claim 572,1
Reminder: submit assignment 306,0
Project meeting next week 662,0
Meeting scheduled tomorrow at 10 AM 215,0
Click this link to secure your account 180,1
Reminder: submit assignment 808,0
Reminder: submit assignment 215,0
Your account will be blocked. Act now 746,1
Please review the attached document 286,0
Project meeting next week 338,0
Team meeting rescheduled 888,0
Urgent! Your account has been suspended. Click here to verify now 704,1
Security alert! Login required 390,1
Verify your bank details to avoid suspension 231,1
Congratulations! You won a prize. Claim now 302,1
Security alert! Login required 886,1
Security alert! Login required 354,1
Your order has been delivered 321,0
Congratulations! You won a prize. Claim now 804,1
Please review the attached document 352,0
Reminder: submit assignment 473,0
Happy birthday! Have a great day 782,0
Reminder: submit assignment 111,0
Please review the attached document 602,0
You have received a reward. Click to claim 295,1
Verify your bank details to avoid suspension 885,1
Happy birthday! Have a great day 872,0
Happy birthday! Have a great day 565,0
Please review the attached document 962,0
Reminder: submit assignment 683,0
Project meeting next week 584,0
Verify your bank details to avoid suspension 137,1
Meeting scheduled tomorrow at 10 AM 762,0
Security alert! Login required 829,1
Lunch plan today? 844,0
Happy birthday! Have a great day 150,0
Urgent! Your account has been suspended. Click here to verify now 561,1
Your password expires today. Login immediately 363,1
Congratulations! You won a prize. Claim now 996,1
Click this link to secure your account 459,1
Verify your bank details to avoid suspension 628,1
Urgent! Your account has been suspended. Click here to verify now 138,1
Please review the attached document 858,0
Let's catch up this weekend 463,0
Urgent! Your account has been suspended. Click here to verify now 356,1
Click this link to secure your account 554,1
Happy birthday! Have a great day 259,0
Congratulations! You won a prize. Claim now 223,1
You have received a reward. Click to claim 149,1
Update your payment information now 889,1
Click this link to secure your account 105,1
Verify your bank details to avoid suspension 214,1
Your password expires today. Login immediately 477,1
Update your payment information now 237,1
Update your payment information now 629,1
Invoice attached for your purchase 211,0
You have received a reward. Click to claim 435,1
Your account will be blocked. Act now 794,1
Happy birthday! Have a great day 905,0
Your account will be blocked. Act now 219,1
Your order has been delivered 581,0
Security alert! Login required 444,1
Verify your bank details to avoid suspension 385,1
Your account will be blocked. Act now 843,1
Team meeting rescheduled 852,0
Your account will be blocked. Act now 275,1
Verify your bank details to avoid suspension 336,1
Please review the attached document 947,0
Urgent! Your account has been suspended. Click here to verify now 815,1
Please review the attached document 838,0
Project meeting next week 796,0
Meeting scheduled tomorrow at 10 AM 834,0
Unusual activity detected. Confirm immediately 502,1
Lunch plan today? 691,0
Your password expires today. Login immediately 104,1
You have received a reward. Click to claim 332,1
Congratulations! You won a prize. Claim now 113,1
Your account will be blocked. Act now 154,1
Verify your bank details to avoid suspension 634,1
Your password expires today. Login immediately 901,1
Urgent! Your account has been suspended. Click here to verify now 444,1
Your password expires today. Login immediately 211,1
Lunch plan today? 433,0
You have received a reward. Click to claim 297,1
You have received a reward. Click to claim 107,1
Happy birthday! Have a great day 131,0
Invoice attached for your purchase 872,0
Please review the attached document 329,0
Happy birthday! Have a great day 790,0
Update your payment information now 318,1
Lunch plan today? 572,0
Please review the attached document 482,0
Please review the attached document 541,0
Verify your bank details to avoid suspension 631,1
Reminder: submit assignment 349,0
Unusual activity detected. Confirm immediately 306,1
Unusual activity detected. Confirm immediately 645,1
Invoice attached for your purchase 959,0
You have received a reward. Click to claim 965,1
Your password expires today. Login immediately 769,1
Update your payment information now 499,1
You have received a reward. Click to claim 476,1
Your password expires today. Login immediately 194,1
Your password expires today. Login immediately 576,1
Meeting scheduled tomorrow at 10 AM 520,0
You have received a reward. Click to claim 486,1
Reminder: submit assignment 341,0
Meeting scheduled tomorrow at 10 AM 555,0
Team meeting rescheduled 404,0
Unusual activity detected. Confirm immediately 999,1
You have received a reward. Click to claim 188,1
Congratulations! You won a prize. Claim now 393,1
Invoice attached for your purchase 675,0
Security alert! Login required 232,1
Let's catch up this weekend 400,0
Unusual activity detected. Confirm immediately 320,1
You have received a reward. Click to claim 153,1
Unusual activity detected. Confirm immediately 689,1
Team meeting rescheduled 914,0
Click this link to secure your account 223,1
Congratulations! You won a prize. Claim now 458,1
Congratulations! You won a prize. Claim now 991,1
Invoice attached for your purchase 582,0
Your password expires today. Login immediately 422,1
Invoice attached for your purchase 518,0
Unusual activity detected. Confirm immediately 345,1
You have received a reward. Click to claim 221,1
Happy birthday! Have a great day 490,0
Verify your bank details to avoid suspension 574,1
Unusual activity detected. Confirm immediately 239,1
Let's catch up this weekend 145,0
Reminder: submit assignment 122,0
Verify your bank details to avoid suspension 840,1
Security alert! Login required 840,1
Please review the attached document 314,0
Team meeting rescheduled 685,0
You have received a reward. Click to claim 585,1
Lunch plan today? 762,0
Reminder: submit assignment 807,0
You have received a reward. Click to claim 425,1
Invoice attached for your purchase 561,0
Verify your bank details to avoid suspension 605,1
Reminder: submit assignment 605,0
Lunch plan today? 355,0
Project meeting next week 700,0
Security alert! Login required 357,1
Please review the attached document 221,0
Let's catch up this weekend 159,0
Your account will be blocked. Act now 307,1
Urgent! Your account has been suspended. Click here to verify now 684,1
Reminder: submit assignment 509,0
Congratulations! You won a prize. Claim now 359,1
Your order has been delivered 574,0
You have received a reward. Click to claim 212,1
Congratulations! You won a prize. Claim now 840,1
Reminder: submit assignment 372,0
Lunch plan today? 944,0
Reminder: submit assignment 893,0
Your password expires today. Login immediately 906,1
Update your payment information now 956,1
Urgent! Your account has been suspended. Click here to verify now 378,1
Your account will be blocked. Act now 365,1
Your account will be blocked. Act now 537,1
Invoice attached for your purchase 266,0
Verify your bank details to avoid suspension 278,1
Reminder: submit assignment 667,0
You have received a reward. Click to claim 487,1
Project meeting next week 430,0
Your account will be blocked. Act now 842,1
Verify your bank details to avoid suspension 628,1
Invoice attached for your purchase 184,0
Urgent! Your account has been suspended. Click here to verify now 445,1
Your account will be blocked. Act now 105,1
Security alert! Login required 940,1
Invoice attached for your purchase 251,0
Please review the attached document 737,0
Lunch plan today? 592,0
Project meeting next week 717,0
Congratulations! You won a prize. Claim now 314,1
Project meeting next week 594,0
Project meeting next week 524,0
Happy birthday! Have a great day 518,0
Congratulations! You won a prize. Claim now 466,1
Invoice attached for your purchase 145,0
Your account will be blocked. Act now 243,1
Let's catch up this weekend 906,0
Update your payment information now 563,1
Security alert! Login required 437,1
Security alert! Login required 262,1
Click this link to secure your account 487,1
Your account will be blocked. Act now 281,1
Verify your bank details to avoid suspension 436,1
Invoice attached for your purchase 605,0
Congratulations! You won a prize. Claim now 632,1
Your password expires today. Login immediately 167,1
Urgent! Your account has been suspended. Click here to verify now 364,1
Meeting scheduled tomorrow at 10 AM 590,0
Urgent! Your account has been suspended. Click here to verify now 625,1
Security alert! Login required 248,1
Congratulations! You won a prize. Claim now 833,1
Update your payment information now 184,1
Urgent! Your account has been suspended. Click here to verify now 641,1
Invoice attached for your purchase 540,0
Let's catch up this weekend 632,0
Meeting scheduled tomorrow at 10 AM 288,0
Team meeting rescheduled 164,0
Unusual activity detected. Confirm immediately 758,1
Reminder: submit assignment 673,0
Congratulations! You won a prize. Claim now 966,1
Lunch plan today? 848,0
Your order has been delivered 485,0
Team meeting rescheduled 872,0
Meeting scheduled tomorrow at 10 AM 598,0
Lunch plan today? 713,0
Meeting scheduled tomorrow at 10 AM 718,0
You have received a reward. Click to claim 417,1
